Year, Month,Quarter,CustomerType,TypeOfCalling,Vertical,Monthly Reccuring Revenue in INR
2014,April,Q2,Existing Customer,Outbound,Gaming,450
2014,April,Q2,Existing Customer,Outbound,Manufacturing,2000
2014,April,Q2,Existing Customer,Outbound,Media & Entertainment,750
2014,April,Q2,Existing Customer,Outbound,Consumer Goods,34916
2014,April,Q2,Existing Customer,Outbound,Financial Services,11170
2014,April,Q2,Existing Customer,Outbound,Hotel & Travel,26537
2014,April,Q2,Existing Customer,Outbound,Financial Services,14500
2014,April,Q2,Existing Customer,Outbound,Retail,1000
2014,April,Q2,Existing Customer,Outbound,Retail,25500
2014,April,Q2,Existing Customer,Outbound,Financial Services,4512
2014,April,Q2,Existing Customer,Outbound,Hotel & Travel,23400
2014,April,Q2,Existing Customer,Outbound,Business Services,1100
2014,April,Q2,Existing Customer,Outbound,Gaming,2325
2014,April,Q2,Existing Customer,Outbound,Media & Entertainment,10400
2014,April,Q2,Existing Customer,Outbound,Media & Entertainment,900
2014,April,Q2,Existing Customer,Outbound,Manufacturing,2738
2014,April,Q2,Existing Customer,Outbound,Retail,4225
2014,April,Q2,Existing Customer,Outbound,High Technology,1000
2014,April,Q2,Existing Customer,Outbound,High Technology,500
2014,April,Q2,New Customer,Outbound,Financial Services,11878
2014,April,Q2,New Customer,Outbound,Media & Entertainment,28550
2014,April,Q2,New Customer,Outbound,Media & Entertainment,2950
2014,April,Q2,New Customer,Outbound,High Technology,6317
2014,April,Q2,Existing Customer,Outbound,Retail,2500
2014,April,Q2,Existing Customer,Outbound,Business Services,3800
2014,April,Q2,New Customer,Outbound,Retail,14185
2014,April,Q2,New Customer,Outbound,Media & Entertainment,10535
2014,April,Q2,New Customer,Outbound,Media & Entertainment,2230
2014,April,Q2,Existing Customer,Outbound,Hotel & Travel,7917
2014,April,Q2,Existing Customer,Outbound,Pharma/Health Care,300
2014,May,Q2,New Customer,Inbound,Consumer Goods,750
2014,May,Q2,New Customer,Outbound,Hotel & Travel,8002
2014,May,Q2,New Customer,Outbound,Media & Entertainment,4375
2014,May,Q2,New Customer,Outbound,Retail,4944
2014,May,Q2,New Customer,Outbound,Retail,13000000
2014,May,Q2,New Customer,Outbound,0,84372
2014,May,Q2,New Customer,Outbound,Gaming,268000
2014,May,Q2,New Customer,Inbound,Media & Entertainment,0
2014,May,Q2,New Customer,Outbound,Gaming,100000
2014,May,Q2,New Customer,Outbound,Public Sector,2000
2014,May,Q2,New Customer,Inbound,Media & Entertainment,0
2014,May,Q2,New Customer,Outbound,Gaming,100000
2014,May,Q2,New Customer,Inbound,Business Services,3767
2014,May,Q2,New Customer,Inbound,High Technology,3525
2014,May,Q2,New Customer,Outbound,Gaming,0
2014,May,Q2,New Customer,Inbound,Retail,3400
2014,May,Q2,New Customer,Inbound,Software as a Service,3450
2014,May,Q2,New Customer,Inbound,Media & Entertainment,1800
2014,May,Q2,New Customer,Inbound,Gaming,2100
