ServiceRequestNo,ServiceRequestStatus,TypeOfEnagagement,Incident/ Problem,SR Priority,SR Open Date,SR Close Date,Product,Geography,Country
2350,Closed,Contract,Incident,2-High,41884.00,41963.00,Busi,Asia-Pacific,India
2972,Closed,Project,Incident,3-Medium,41960.00,41963.00,Unsp,Asia-Pacific,Singapore
2850,Closed,Project,Incident,2-High,41962.00,41964.00,Blen,Asia-Pacific,India
2973,Closed,Project,Problem,3-Medium,41948.00,41964.00,Blen,Asia-Pacific,Korea South
2652,Closed,Contract,Incident,3-Medium,41963.00,41967.00,Busi,Asia-Pacific,India
2900,Closed,Contract,Problem,1-Critical,41788.00,41967.00,Busi,Asia-Pacific,India
1024,Closed,Contract,Incident,3-Medium,41767.00,41968.00,APC ,Asia-Pacific,Japan
1025,Closed,Contract,Incident,3-Medium,41767.00,41968.00,APC ,Asia-Pacific,Japan
1026,Closed,Contract,Incident,3-Medium,41767.00,41968.00,APC ,Asia-Pacific,Japan
1034,Closed,Project,Incident,3-Medium,41809.00,41968.00,APC ,Asia-Pacific,Thailand
1035,Closed,Project,Incident,3-Medium,41809.00,41968.00,APC ,Asia-Pacific,Thailand
1036,Closed,Project,Incident,3-Medium,41809.00,41968.00,APC ,Asia-Pacific,Thailand
1114,Closed,Contract,Incident,2-High,41962.00,41968.00,APC ,Asia-Pacific,New Zealand
1115,Closed,Contract,Incident,2-High,41962.00,41968.00,APC ,Asia-Pacific,New Zealand
1116,Closed,Contract,Incident,2-High,41962.00,41968.00,APC ,Asia-Pacific,New Zealand
1514,Closed,Contract,Incident,3-Medium,41942.00,41968.00,Busi,Asia-Pacific,India
2388,Closed,Contract,Incident,1-Critical,41673.00,41968.00,Busi,Asia-Pacific,India
2868,Closed,Contract,Incident,1-Critical,41673.00,41968.00,Busi,Asia-Pacific,India
1234,Closed,Project,Incident,1-Critical,41892.00,41969.00,Oper,Asia-Pacific,Singapore
2103,Closed,Project,Incident,2-High,41886.00,41969.00,USD ,Asia-Pacific,India
2573,Closed,Project,Incident,1-Critical,41892.00,41969.00,Oper,Asia-Pacific,Singapore
2096,Closed,Project,Incident,3-Medium,41955.00,41970.00,Oper,Asia-Pacific,China
2168,Closed,Contract,Incident,4-Low,41920.00,41970.00,Busi,Asia-Pacific,India
2169,Closed,Contract,Incident,2-High,41920.00,41970.00,Busi,Asia-Pacific,India
2170,Closed,Contract,Incident,3-Medium,41920.00,41970.00,Busi,Asia-Pacific,India
2181,Closed,Contract,Request for Fulfillment,3-Medium,41884.00,41970.00,Busi,Asia-Pacific,India
2305,Closed,No Charge Support,Incident,2-High,41950.00,41970.00,Busi,Asia-Pacific,India
2340,Closed,Contract,Incident,4-Low,41920.00,41970.00,Busi,Asia-Pacific,India
2343,Closed,Contract,Incident,2-High,41920.00,41970.00,Busi,Asia-Pacific,India
2344,Closed,Contract,Incident,3-Medium,41920.00,41970.00,Busi,Asia-Pacific,India
2352,Closed,Contract,Request for Fulfillment,3-Medium,41884.00,41970.00,Busi,Asia-Pacific,India
2921,Closed,Contract,Incident,4-Low,41955.00,41970.00,Busi,Asia-Pacific,Japan
2289,Closed,Contract,Incident,2-High,41970.00,41974.00,Busi,Asia-Pacific,India
2292,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2293,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2294,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2295,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2296,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2297,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2298,Closed,Project,Problem,2-High,41750.00,41974.00,Oper,Asia-Pacific,Australia
2584,Closed,Project,Problem,2-High,41900.00,41974.00,USD ,Asia-Pacific,China
2585,Closed,Project,Problem,2-High,41900.00,41974.00,USD ,Asia-Pacific,China
2851,Closed,Project,Incident,2-High,41969.00,41974.00,Blen,Asia-Pacific,India
1376,Closed,Project,Incident,3-Medium,41955.00,41975.00,Oper,Asia-Pacific,Indonesia
2163,Closed,Contract,Incident,3-Medium,41940.00,41975.00,Busi,Asia-Pacific,Singapore
2322,Closed,Project,Incident,3-Medium,41935.00,41975.00,Busi,Asia-Pacific,Australia
1585,Closed,Contract,Request for Fulfillment,3-Medium,41964.00,41976.00,Unsp,Asia-Pacific,Singapore
1650,Closed,Project,Incident,3-Medium,41767.00,41976.00,PHD ,Asia-Pacific,Singapore
1652,Closed,Project,Incident,3-Medium,41778.00,41976.00,Unsp,Asia-Pacific,Singapore
1657,Closed,Project,Incident,3-Medium,41780.00,41976.00,Unsp,Asia-Pacific,Singapore
1667,Closed,Project,Incident,3-Medium,41975.00,41976.00,Proc,Asia-Pacific,Japan
1701,Closed,Project,Incident,3-Medium,41877.00,41976.00,Unsp,Asia-Pacific,Singapore
1761,Closed,Project,Incident,3-Medium,41953.00,41976.00,PHD ,Asia-Pacific,Singapore
2097,Closed,Project,Problem,3-Medium,41954.00,41976.00,Oper,Asia-Pacific,India
2647,Closed,Project,Problem,3-Medium,41954.00,41976.00,Oper,Asia-Pacific,India
2648,Closed,Project,Problem,3-Medium,41954.00,41976.00,Oper,Asia-Pacific,India
1915,Closed,Contract,Problem,3-Medium,41974.00,41978.00,PHD ,Asia-Pacific,Australia
1021,Closed,Project,Problem,3-Medium,41766.00,41979.00,APC ,Asia-Pacific,India
1022,Closed,Project,Problem,3-Medium,41766.00,41979.00,APC ,Asia-Pacific,India
1023,Closed,Project,Problem,3-Medium,41766.00,41979.00,APC ,Asia-Pacific,India
1029,Closed,Contract,Problem,3-Medium,41792.00,41979.00,APC ,Asia-Pacific,India
1030,Closed,Contract,Problem,3-Medium,41792.00,41979.00,APC ,Asia-Pacific,India
1037,Closed,Contract,Problem,2-High,41814.00,41979.00,APC ,Asia-Pacific,India
1038,Closed,Contract,Problem,2-High,41814.00,41979.00,APC ,Asia-Pacific,India
1045,Closed,Contract,Incident,3-Medium,41817.00,41979.00,APC ,Asia-Pacific,India
1117,Closed,Contract,Incident,2-High,41964.00,41980.00,APC ,Asia-Pacific,Australia
1118,Closed,Contract,Incident,2-High,41964.00,41980.00,APC ,Asia-Pacific,Australia
1119,Closed,Contract,Incident,2-High,41964.00,41980.00,APC ,Asia-Pacific,Australia
1120,Closed,Contract,Incident,2-High,41964.00,41980.00,APC ,Asia-Pacific,Australia
1121,Closed,Contract,Incident,2-High,41964.00,41980.00,APC ,Asia-Pacific,Australia
1658,Closed,Project,Problem,3-Medium,41786.00,41981.00,PHD ,Asia-Pacific,Singapore
1659,Closed,Project,Incident,3-Medium,41788.00,41981.00,PHD ,Asia-Pacific,Singapore
1661,Closed,Project,Incident,4-Low,41801.00,41981.00,PHD ,Asia-Pacific,Singapore
1196,Closed,Contract,Incident,3-Medium,41815.00,41982.00,Busi,Asia-Pacific,India
1577,Closed,Project,Problem,3-Medium,41929.00,41982.00,Busi,Asia-Pacific,Australia
1860,Closed,Project,Problem,2-High,41722.00,41982.00,USD ,Asia-Pacific,Australia
2104,Closed,Project,Problem,2-High,41722.00,41982.00,USD ,Asia-Pacific,Australia
2291,Closed,Contract,Incident,2-High,41961.00,41982.00,Busi,Asia-Pacific,India
2346,Closed,Contract,Incident,3-Medium,41907.00,41982.00,Busi,Asia-Pacific,India
2527,Closed,Contract,Incident,3-Medium,41978.00,41982.00,Busi,Asia-Pacific,India
2540,Closed,Contract,Incident,2-High,41824.00,41982.00,Busi,Asia-Pacific,India
2561,Closed,Project,Problem,3-Medium,41884.00,41982.00,Oper,Asia-Pacific,India
2562,Closed,Project,Problem,3-Medium,41884.00,41982.00,Oper,Asia-Pacific,India
2724,Closed,No Charge Support,Incident,1-Critical,41982.00,41982.00,USD ,Asia-Pacific,Malaysia
2725,Closed,No Charge Support,Incident,1-Critical,41982.00,41982.00,USD ,Asia-Pacific,Malaysia
1545,Closed,Project,Problem,2-High,41745.00,41983.00,AAM ,Asia-Pacific,Australia
2286,Closed,Contract,Incident,3-Medium,41978.00,41983.00,Busi,Asia-Pacific,Australia
2528,Closed,Project,Problem,2-High,41859.00,41983.00,Oper,Asia-Pacific,India
2529,Closed,Project,Problem,2-High,41859.00,41983.00,Oper,Asia-Pacific,India
2530,Closed,Project,Problem,2-High,41859.00,41983.00,Oper,Asia-Pacific,India
2531,Closed,Project,Problem,2-High,41859.00,41983.00,Oper,Asia-Pacific,India
2888,Closed,Contract,Request for Fulfillment,3-Medium,41796.00,41983.00,Unsp,Asia-Pacific,India
2971,Closed,Project,Problem,3-Medium,41982.00,41983.00,Blen,Asia-Pacific,India
2079,Closed,No Charge Support,Incident,2-High,41981.00,41984.00,USD ,Asia-Pacific,India
2092,Closed,No Charge Support,Incident,1-Critical,41975.00,41984.00,USD ,Asia-Pacific,India
2093,Closed,Project,Incident,1-Critical,41975.00,41984.00,USD ,Asia-Pacific,Unspecified
2094,Closed,Project,Incident,1-Critical,41974.00,41984.00,USD ,Asia-Pacific,Singapore
2095,Closed,Project,Incident,1-Critical,41974.00,41984.00,USD ,Asia-Pacific,Korea South
2290,Closed,Contract,Incident,3-Medium,41964.00,41984.00,Busi,Asia-Pacific,India
2526,Closed,Contract,Incident,3-Medium,41984.00,41984.00,Busi,Asia-Pacific,India
2646,Closed,Contract,Incident,3-Medium,41964.00,41984.00,Busi,Asia-Pacific,India
2653,Closed,Contract,Incident,3-Medium,41962.00,41984.00,Busi,Asia-Pacific,India
2660,Closed,Contract,Incident,3-Medium,41954.00,41984.00,Busi,Asia-Pacific,India
2989,Closed,Contract,Problem,3-Medium,41963.00,41984.00,AAM ,Asia-Pacific,Singapore
1920,Closed,Project,Request for Fulfillment,3-Medium,41984.00,41985.00,PHD ,Asia-Pacific,Indonesia
2078,Closed,No Charge Support,Incident,2-High,41985.00,41985.00,USD ,Asia-Pacific,India
2743,Closed,No Charge Support,Incident,2-High,41985.00,41985.00,USD ,Asia-Pacific,India
2744,Closed,No Charge Support,Incident,2-High,41985.00,41985.00,USD ,Asia-Pacific,India
1582,Closed,Contract,Request for Fulfillment,3-Medium,41954.00,41987.00,AAM ,Asia-Pacific,Malaysia
2307,Closed,Contract,Incident,3-Medium,41942.00,41988.00,Busi,Asia-Pacific,India
2525,Closed,Contract,Incident,3-Medium,41985.00,41988.00,Busi,Asia-Pacific,India
1510,Closed,Project,Incident,3-Medium,41978.00,41989.00,PHD ,Asia-Pacific,China
1680,Closed,Project,Incident,4-Low,41845.00,41989.00,PHD ,Asia-Pacific,Japan
1122,Closed,Contract,Incident,2-High,41966.00,41990.00,APC ,Asia-Pacific,New Zealand
1123,Closed,Contract,Incident,2-High,41966.00,41990.00,APC ,Asia-Pacific,New Zealand
1124,Closed,Contract,Incident,2-High,41974.00,41990.00,APC ,Asia-Pacific,Australia
1787,Closed,Contract,Incident,3-Medium,41987.00,41990.00,PHD ,Asia-Pacific,Australia
2969,Closed,Project,Problem,2-High,41990.00,41990.00,Blen,Asia-Pacific,Korea South
1591,Closed,Project,Problem,3-Medium,41990.00,41991.00,AAM ,Asia-Pacific,Singapore
1106,Closed,Contract,Incident,2-High,41956.00,41992.00,APC ,Asia-Pacific,Australia
1107,Closed,Contract,Incident,2-High,41956.00,41992.00,APC ,Asia-Pacific,Australia
1108,Closed,Contract,Incident,2-High,41956.00,41992.00,APC ,Asia-Pacific,Australia
1109,Closed,Contract,Incident,2-High,41956.00,41992.00,APC ,Asia-Pacific,Australia
1926,Closed,Billable,Request for Fulfillment,3-Medium,41991.00,41995.00,PHD ,Asia-Pacific,Philippines
2072,Closed,Project,Incident,2-High,41995.00,41995.00,USD ,Asia-Pacific,India
2645,Closed,Contract,Incident,3-Medium,41983.00,41995.00,Busi,Asia-Pacific,India
2649,Closed,No Charge Support,Incident,3-Medium,41961.00,41995.00,USD ,Asia-Pacific,India
2650,Closed,No Charge Support,Incident,3-Medium,41961.00,41995.00,USD ,Asia-Pacific,India
2651,Closed,No Charge Support,Incident,4-Low,41961.00,41995.00,USD ,Asia-Pacific,India
1520,Closed,Contract,Incident,3-Medium,41927.00,41996.00,Busi,Asia-Pacific,India
1914,Closed,Project,Request for Fulfillment,3-Medium,41970.00,41996.00,PHD ,Asia-Pacific,Indonesia
2165,Closed,No Charge Support,Request for Fulfillment,3-Medium,41928.00,41996.00,Busi,Asia-Pacific,Australia
2674,Closed,No Charge Support,Problem,4-Low,41976.00,41996.00,USD ,Asia-Pacific,Korea South
2675,Closed,No Charge Support,Problem,4-Low,41976.00,41996.00,USD ,Asia-Pacific,Korea South
2676,Closed,No Charge Support,Problem,4-Low,41976.00,41996.00,USD ,Asia-Pacific,Korea South
2697,Closed,No Charge Support,Incident,2-High,41981.00,41996.00,USD ,Asia-Pacific,New Zealand
2698,Closed,No Charge Support,Incident,2-High,41981.00,41996.00,USD ,Asia-Pacific,New Zealand
1918,Closed,Billable,Problem,2-High,41983.00,41997.00,PHD ,Asia-Pacific,Papua New Guinea
2628,Closed,Project,Problem,2-High,41933.00,41997.00,Oper,Asia-Pacific,India
2629,Closed,Project,Problem,2-High,41933.00,41997.00,Oper,Asia-Pacific,India
2699,Closed,Project,Incident,2-High,41981.00,41997.00,USD ,Asia-Pacific,China
2700,Closed,Project,Incident,2-High,41981.00,41997.00,USD ,Asia-Pacific,China
1691,Closed,Project,Problem,2-High,41865.00,41998.00,PHD ,Asia-Pacific,Japan
1728,Closed,Project,Problem,4-Low,41912.00,41998.00,PHD ,Asia-Pacific,Japan
1768,Closed,No Charge Support,Problem,3-Medium,41962.00,41998.00,PHD ,Asia-Pacific,Japan
2764,Closed,No Charge Support,Incident,2-High,41997.00,41998.00,USD ,Asia-Pacific,Japan
2765,Closed,No Charge Support,Incident,2-High,41997.00,41998.00,USD ,Asia-Pacific,Japan
1689,Closed,Project,Incident,3-Medium,41863.00,41999.00,PHD ,Asia-Pacific,Japan
1739,Closed,Project,Problem,3-Medium,41921.00,41999.00,PHD ,Asia-Pacific,Japan
1755,Closed,Project,Problem,3-Medium,41941.00,41999.00,PHD ,Asia-Pacific,Japan
2071,Closed,Project,Incident,1-Critical,41996.00,42001.00,USD ,Asia-Pacific,India
2074,Closed,No Charge Support,Incident,2-High,41995.00,42001.00,USD ,Asia-Pacific,India
1518,Closed,Project,Incident,3-Medium,41653.00,42002.00,AAM ,Asia-Pacific,Japan
1660,Closed,Project,Incident,2-High,41799.00,42002.00,PHD ,Asia-Pacific,Japan
1668,Closed,Project,Problem,3-Medium,41823.00,42002.00,PHD ,Asia-Pacific,Japan
1669,Closed,Project,Problem,3-Medium,41823.00,42002.00,PHD ,Asia-Pacific,Japan
1685,Closed,Project,Problem,3-Medium,41853.00,42002.00,PHD ,Asia-Pacific,Japan
1902,Closed,Contract,Incident,3-Medium,41940.00,42002.00,PHD ,Asia-Pacific,Japan
2383,Closed,Project,Problem,2-High,41788.00,42002.00,Oper,Asia-Pacific,China
2950,Closed,Billable,Request for Fulfillment,3-Medium,41999.00,42002.00,DynA,Asia-Pacific,China
2994,Closed,Project,Incident,3-Medium,41996.00,42002.00,AAM ,Asia-Pacific,Singapore
2287,Closed,Contract,Incident,3-Medium,41974.00,42003.00,Busi,Asia-Pacific,India
2288,Closed,Contract,Incident,3-Medium,41974.00,42003.00,Busi,Asia-Pacific,India
2303,Closed,Contract,Incident,2-High,41953.00,42003.00,Busi,Asia-Pacific,India
2304,Closed,Contract,Request for Fulfillment,3-Medium,41953.00,42003.00,Busi,Asia-Pacific,India
2308,Closed,Project,Problem,3-Medium,41941.00,42003.00,Busi,Asia-Pacific,Australia
2325,Closed,Contract,Incident,2-High,41927.00,42003.00,Busi,Asia-Pacific,India
2326,Closed,Contract,Incident,2-High,41927.00,42003.00,Busi,Asia-Pacific,India
2338,Closed,Contract,Incident,3-Medium,41920.00,42003.00,AAM ,Asia-Pacific,India
2345,Closed,Contract,Incident,3-Medium,41919.00,42003.00,AAM ,Asia-Pacific,India
2351,Closed,Contract,Incident,4-Low,41884.00,42003.00,Busi,Asia-Pacific,India
2353,Closed,Contract,Incident,3-Medium,41884.00,42003.00,Busi,Asia-Pacific,India
2354,Closed,Contract,Incident,4-Low,41884.00,42003.00,Busi,Asia-Pacific,India
2355,Closed,Contract,Incident,3-Medium,41884.00,42003.00,Busi,Asia-Pacific,India
2524,Closed,Contract,Incident,3-Medium,42003.00,42003.00,Busi,Asia-Pacific,India
2962,Closed,Project,Problem,4-Low,41772.00,42004.00,AAM ,Asia-Pacific,Australia
1041,Closed,Contract,Incident,3-Medium,41814.00,42006.00,APC ,Asia-Pacific,Australia
1042,Closed,Contract,Incident,3-Medium,41814.00,42006.00,APC ,Asia-Pacific,Australia
1043,Closed,Contract,Incident,3-Medium,41814.00,42006.00,APC ,Asia-Pacific,Australia
1044,Closed,Contract,Incident,3-Medium,41814.00,42006.00,APC ,Asia-Pacific,Australia
2967,Closed,Project,Incident,3-Medium,41922.00,42006.00,Oper,Asia-Pacific,Japan
2008,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
2014,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
2016,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
2062,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
2068,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
2069,Closed,No Charge Support,Incident,2-High,42003.00,42007.00,USD ,Asia-Pacific,India
1505,Closed,Contract,Incident,3-Medium,41985.00,42009.00,Busi,Asia-Pacific,Australia
1671,Closed,Contract,Incident,2-High,41827.00,42009.00,PHD ,Asia-Pacific,Australia
2161,Closed,Project,Request for Fulfillment,3-Medium,41970.00,42009.00,Unsp,Asia-Pacific,China
2771,Closed,No Charge Support,Request for Fulfillment,2-High,42009.00,42009.00,USD ,Asia-Pacific,Singapore
2772,Closed,No Charge Support,Request for Fulfillment,2-High,42009.00,42009.00,USD ,Asia-Pacific,Singapore
2773,Closed,No Charge Support,Request for Fulfillment,2-High,42009.00,42009.00,USD ,Asia-Pacific,Singapore
2774,Closed,No Charge Support,Request for Fulfillment,2-High,42009.00,42009.00,USD ,Asia-Pacific,Singapore
1504,Closed,Project,Incident,2-High,41988.00,42010.00,Unsp,Asia-Pacific,India
1931,Closed,Contract,Incident,2-High,42009.00,42010.00,PHD ,Asia-Pacific,Vietnam
1994,Closed,Project,Incident,2-High,42004.00,42010.00,USD ,Asia-Pacific,Korea South
2184,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2185,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2186,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2187,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2188,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2189,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2190,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2191,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2192,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2193,Closed,Project,Problem,3-Medium,41695.00,42010.00,Oper,Asia-Pacific,Australia
2434,Closed,Project,Problem,2-High,41828.00,42010.00,Oper,Asia-Pacific,Unspecified
2435,Closed,Project,Problem,2-High,41828.00,42010.00,Oper,Asia-Pacific,Unspecified
2436,Closed,Project,Problem,2-High,41828.00,42010.00,Oper,Asia-Pacific,Unspecified
2519,Closed,Contract,Incident,3-Medium,42010.00,42010.00,Busi,Asia-Pacific,India
2634,Closed,Unverified,Request for Fulfillment,3-Medium,42010.00,42010.00,Busi,Asia-Pacific,India
2644,Closed,Contract,Incident,3-Medium,42009.00,42010.00,Busi,Asia-Pacific,India
2766,Closed,No Charge Support,Request for Fulfillment,3-Medium,42009.00,42010.00,USD ,Asia-Pacific,China
2767,Closed,No Charge Support,Request for Fulfillment,3-Medium,42009.00,42010.00,USD ,Asia-Pacific,China
2768,Closed,No Charge Support,Request for Fulfillment,3-Medium,42009.00,42010.00,USD ,Asia-Pacific,China
2769,Closed,No Charge Support,Request for Fulfillment,3-Medium,42009.00,42010.00,USD ,Asia-Pacific,China
2770,Closed,No Charge Support,Request for Fulfillment,3-Medium,42009.00,42010.00,USD ,Asia-Pacific,China
2953,Closed,Billable,Request for Fulfillment,3-Medium,41997.00,42010.00,DynA,Asia-Pacific,China
1737,Closed,Project,Problem,3-Medium,41918.00,42011.00,Unsp,Asia-Pacific,Australia
1785,Closed,Contract,Incident,3-Medium,41999.00,42011.00,PHD ,Asia-Pacific,Japan
2776,Closed,Project,Incident,2-High,42011.00,42012.00,Oper,Asia-Pacific,Australia
2777,Closed,No Charge Support,Incident,1-Critical,42012.00,42012.00,USD ,Asia-Pacific,India
2778,Closed,No Charge Support,Incident,1-Critical,42012.00,42012.00,USD ,Asia-Pacific,India
2779,Closed,No Charge Support,Incident,1-Critical,42012.00,42012.00,USD ,Asia-Pacific,India
1789,Closed,Contract,Incident,3-Medium,41983.00,42013.00,Unsp,Asia-Pacific,Japan
1558,Closed,Project,Incident,3-Medium,41793.00,42016.00,Busi,Asia-Pacific,Singapore
1720,Closed,Project,Incident,3-Medium,41900.00,42016.00,Unsp,Asia-Pacific,Singapore
1780,Closed,Project,Problem,3-Medium,42011.00,42016.00,PHD ,Asia-Pacific,Australia
2115,Closed,No Charge Support,Problem,3-Medium,42013.00,42016.00,Unsp,Asia-Pacific,Taiwan
2440,Closed,No Charge Support,Incident,2-High,41830.00,42016.00,USD ,Asia-Pacific,Malaysia
2441,Closed,No Charge Support,Incident,2-High,41830.00,42016.00,USD ,Asia-Pacific,Malaysia
2442,Closed,No Charge Support,Incident,2-High,41830.00,42016.00,USD ,Asia-Pacific,Malaysia
2574,Closed,No Charge Support,Incident,2-High,41892.00,42016.00,USD ,Asia-Pacific,Malaysia
2685,Closed,No Charge Support,Problem,2-High,41977.00,42016.00,Oper,Asia-Pacific,Singapore
2686,Closed,No Charge Support,Problem,2-High,41977.00,42016.00,Oper,Asia-Pacific,Singapore
2687,Closed,No Charge Support,Problem,2-High,41977.00,42016.00,Oper,Asia-Pacific,Singapore
2688,Closed,No Charge Support,Problem,2-High,41977.00,42016.00,Oper,Asia-Pacific,Singapore
2689,Closed,No Charge Support,Problem,2-High,41977.00,42016.00,Oper,Asia-Pacific,Singapore
2701,Closed,Project,Incident,2-High,41981.00,42016.00,USD ,Asia-Pacific,India
2702,Closed,Project,Incident,2-High,41981.00,42016.00,USD ,Asia-Pacific,India
2703,Closed,Project,Incident,2-High,41981.00,42016.00,USD ,Asia-Pacific,India
2722,Closed,Project,Incident,2-High,41982.00,42016.00,USD ,Asia-Pacific,India
2723,Closed,Project,Incident,2-High,41982.00,42016.00,USD ,Asia-Pacific,India
2746,Closed,Contract,Incident,3-Medium,41912.00,42016.00,Busi,Asia-Pacific,India
2955,Closed,Billable,Request for Fulfillment,3-Medium,41995.00,42016.00,AAM ,Asia-Pacific,Malaysia
2931,Closed,Project,Incident,4-Low,41975.00,42017.00,DynA,Asia-Pacific,Japan
1503,Closed,Project,Incident,3-Medium,41989.00,42018.00,Busi,Asia-Pacific,China
1519,Closed,Contract,Incident,3-Medium,41927.00,42018.00,Busi,Asia-Pacific,India
2001,Closed,No Charge Support,Incident,2-High,41982.00,42018.00,Busi,Asia-Pacific,India
2158,Closed,Project,Incident,3-Medium,42010.00,42018.00,Busi,Asia-Pacific,Australia
1765,Closed,Contract,Problem,2-High,41956.00,42019.00,PHD ,Asia-Pacific,Australia
1932,Closed,No Charge Support,Request for Fulfillment,2-High,42013.00,42020.00,PHD ,Asia-Pacific,Malaysia
2313,Closed,Project,Incident,3-Medium,41941.00,42020.00,PHD ,Asia-Pacific,China
2481,Closed,No Charge Support,Incident,3-Medium,41844.00,42020.00,USD ,Asia-Pacific,China
2595,Closed,Unverified,Incident,3-Medium,42016.00,42020.00,Busi,Asia-Pacific,India
1500,Closed,Contract,Incident,3-Medium,42018.00,42023.00,Busi,Asia-Pacific,India
1984,Closed,No Charge Support,Incident,2-High,42016.00,42023.00,USD ,Asia-Pacific,India
1993,Closed,Contract,Incident,3-Medium,41829.00,42024.00,Busi,Asia-Pacific,Japan
2002,Closed,No Charge Support,Incident,2-High,42016.00,42024.00,Busi,Asia-Pacific,India
2003,Closed,No Charge Support,Incident,2-High,42016.00,42024.00,Busi,Asia-Pacific,India
2101,Closed,Project,Problem,2-High,41913.00,42024.00,Oper,Asia-Pacific,China
2750,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2751,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2752,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2753,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2754,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2755,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2756,Closed,No Charge Support,Problem,3-Medium,41990.00,42024.00,USD ,Asia-Pacific,Japan
2783,Closed,Contract,Request for Fulfillment,4-Low,41864.00,42024.00,Busi,Asia-Pacific,India
2793,Closed,Contract,Request for Fulfillment,4-Low,41837.00,42024.00,Busi,Asia-Pacific,India
2880,Closed,Contract,Request for Fulfillment,4-Low,41796.00,42024.00,Unsp,Asia-Pacific,India
2883,Closed,Contract,Request for Fulfillment,4-Low,41796.00,42024.00,Unsp,Asia-Pacific,India
2884,Closed,Contract,Request for Fulfillment,4-Low,41796.00,42024.00,Unsp,Asia-Pacific,India
2887,Closed,Contract,Request for Fulfillment,4-Low,41796.00,42024.00,Unsp,Asia-Pacific,India
1972,Closed,No Charge Support,Incident,2-High,42025.00,42025.00,USD ,Asia-Pacific,Brunei Darussalam
1973,Closed,No Charge Support,Incident,2-High,42025.00,42025.00,USD ,Asia-Pacific,Brunei Darussalam
2159,Closed,Project,Incident,3-Medium,42003.00,42025.00,Busi,Asia-Pacific,Singapore
1975,Closed,Project,Incident,2-High,42025.00,42026.00,Oper,Asia-Pacific,Singapore
1977,Closed,Project,Incident,2-High,42025.00,42026.00,Oper,Asia-Pacific,Singapore
2443,Closed,Project,Problem,4-Low,41830.00,42026.00,USD ,Asia-Pacific,Unspecified
2444,Closed,Project,Problem,4-Low,41830.00,42026.00,USD ,Asia-Pacific,Unspecified
1996,Closed,Project,Incident,2-High,41883.00,42027.00,Busi,Asia-Pacific,India
2005,Closed,No Charge Support,Incident,1-Critical,42023.00,42027.00,Busi,Asia-Pacific,India
1662,Closed,Project,Problem,2-High,41808.00,42028.00,PHD ,Asia-Pacific,Malaysia
1674,Closed,Project,Incident,3-Medium,41837.00,42031.00,Unsp,Asia-Pacific,China
1772,Closed,Project,Incident,3-Medium,41989.00,42031.00,PHD ,Asia-Pacific,China
2266,Closed,Contract,Incident,3-Medium,41990.00,42031.00,Busi,Asia-Pacific,India
2517,Closed,Contract,Incident,3-Medium,42027.00,42031.00,Busi,Asia-Pacific,India
2167,Closed,Contract,Problem,3-Medium,41920.00,42032.00,Busi,Asia-Pacific,India
2334,Closed,Contract,Problem,3-Medium,41920.00,42032.00,Busi,Asia-Pacific,India
